A07108,HIV1_D
A34828,HIV1_D
AB049811,HIV1_02_AG
AB220946,HIV1_01_AE
AB220948,HIV1_01_AE
AB231893,HIV1_G
AB231896,HIV1_02_AG
AB231898,HIV1_02_AG
AB253423,HIV1_01_AE
AB253645,HIV1_01_AE
AB253674,HIV1_01_AE
AB253690,HIV1_01_AE
AB253694,HIV1_01_AE
AB253710,HIV1_01_AE
AB253717,HIV1_01_AE
AB286851,HIV1_06_cpx
AB286852,HIV1_06_cpx
AB286855,HIV1_02_AG
AB286856,HIV1_02_AG
AB286857,HIV1_02_AG
AB286858,HIV1_02_AG
AB286859,HIV1_02_AG
AB286860,HIV1_02_AG
AB287003,HIV1_G
AB287004,HIV1_G
AB287367,HIV1_B
AB287377,HIV1_A
AB485633,HIV1_02_AG
AB485634,HIV1_02_AG
AB485648,HIV1_D
AB485650,HIV1_D
AB485651,HIV1_D
AB485656,HIV1_F
AB485657,HIV1_F
AB485658,HIV1_F
AB485659,HIV1_F
AB485660,HIV1_06_cpx
AB485661,HIV1_06_cpx
AB485662,HIV1_G
AB485663,HIV1_G
AB703607,HIV1_35_AD
AB703608,HIV1_35_AD
AB703609,HIV1_35_AD
AB703610,HIV1_35_AD
AB703611,HIV1_35_AD
AB703612,HIV1_35_AD
AB703613,HIV1_35_AD
AB703614,HIV1_35_AD
AB703615,HIV1_35_AD
AB746342,HIV1_08_BC
AB746343,HIV1_08_BC
AB746344,HIV1_08_BC
AB746345,HIV1_08_BC
AB773884,HIV1_08_BC
AB773885,HIV1_08_BC
AF005494,HIV1_F
AF061640,HIV1_G
AF061641,HIV1_G
AF061642,HIV1_G
AF064699,HIV1_06_cpx
AF069671,HIV1_A
AF070521,HIV1_B
AF075703,HIV1_F
AF077336,HIV1_F
AF084936,HIV1_G
AF107770,HIV1_02_AG
AF179368,HIV1_11_cpx
AF193275,HIV1_A
AF197339,HIV1_01_AE
AF197341,HIV1_01_AE
AF256211,HIV1_B
AF259955,HIV1_01_AE
AF286226,HIV1_07_BC
AF286229,HIV1_08_BC
AF286230,HIV1_07_BC
AF290028,HIV1_C
AF377954,HIV1_02_AG
AF377955,HIV1_02_AG
AF377956,HIV1_F
AF413987,HIV1_A
AF423756,HIV1_14_BG
AF423757,HIV1_14_BG
AF423758,HIV1_14_BG
AF423759,HIV1_14_BG
AF423760,HIV1_G
AF443086,HIV1_C
AF443087,HIV1_C
AF443093,HIV1_C
AF450096,HIV1_14_BG
AF450097,HIV1_14_BG
AF450098,HIV1_G
AF457066,HIV1_A
AF457075,HIV1_A
AF457090,HIV1_D
AF484478,HIV1_A
AF484480,HIV1_D
AF484485,HIV1_D
AF484487,HIV1_D
AF484490,HIV1_D
AF484495,HIV1_D
AF484497,HIV1_D
AF484498,HIV1_D
AF484502,HIV1_D
AF484504,HIV1_D
AF484505,HIV1_D
AF484506,HIV1_D
AF484507,HIV1_A
AF484511,HIV1_D
AF484513,HIV1_D
AF484514,HIV1_D
AF484516,HIV1_D
AF484519,HIV1_D
AF492623,HIV1_11_cpx
AF492624,HIV1_11_cpx
AF503396,HIV1_07_BC
AF539405,HIV1_A
AJ245481,HIV1_06_cpx
AJ249236,HIV1_F
AJ249237,HIV1_F
AJ249238,HIV1_F
AJ251056,HIV1_02_AG
AJ288981,HIV1_06_cpx
AJ288982,HIV1_06_cpx
AJ291718,HIV1_11_cpx
AJ291719,HIV1_11_cpx
AJ291720,HIV1_11_cpx
AJ320484,HIV1_D
AJ488926,HIV1_D
AJ488927,HIV1_D
AJ519488,HIV1_D
AX149647,HIV1_07_BC
AX149672,HIV1_07_BC
AX149771,HIV1_07_BC
AX149898,HIV1_07_BC
AY008715,HIV1_08_BC
AY008716,HIV1_08_BC
AY008717,HIV1_08_BC
AY173957,HIV1_F
AY173958,HIV1_F
AY253311,HIV1_D
AY271690,HIV1_02_AG
AY322189,HIV1_D
AY358039,HIV1_01_AE
AY358040,HIV1_01_AE
AY371121,HIV1_G
AY371122,HIV1_02_AG
AY371125,HIV1_02_AG
AY371128,HIV1_02_AG
AY371130,HIV1_02_AG
AY371131,HIV1_02_AG
AY371136,HIV1_02_AG
AY371137,HIV1_02_AG
AY371138,HIV1_02_AG
AY371140,HIV1_02_AG
AY371141,HIV1_02_AG
AY371142,HIV1_02_AG
AY371149,HIV1_11_cpx
AY371150,HIV1_11_cpx
AY371151,HIV1_11_cpx
AY371153,HIV1_11_cpx
AY371155,HIV1_D
AY371157,HIV1_D
AY371158,HIV1_F
AY371159,HIV1_22_01A1
AY371165,HIV1_22_01A1
AY444803,HIV1_01_AE
AY444811,HIV1_02_AG
AY463218,HIV1_C
AY463228,HIV1_C
AY521629,HIV1_A
AY521630,HIV1_A
AY535659,HIV1_06_cpx
AY586547,HIV1_G
AY586548,HIV1_G
AY586549,HIV1_G
AY612637,HIV1_G
AY703911,HIV1_C
AY713411,HIV1_B
AY772535,HIV1_G
AY773338,HIV1_D
AY773340,HIV1_D
AY773341,HIV1_D
AY779550,HIV1_B
AY829214,HIV1_63_02A1
AY835749,HIV1_B
AY835755,HIV1_B
