EF407412|1a,1
KM043272|1a,1
KM043273|1a,1
KM043274|1a,1
KM043275|1a,1
KM043276|1a,1
KM043277|1a,1
EF407457|1a,1
EF407432|1a,1
EU362876|1a,1
EF407428|1a,1
EU362877|1a,1
EF407437|1a,1
EF407441|1a,1
KM043278|1a,1
KM043279|1a,1
EF407452|1a,1
EF407434|1a,1
EU362901|1a,1
EF407449|1a,1
EF407431|1a,1
EU362882|1a,1
EF407415|1a,1
EF407456|1a,1
EF407453|1a,1
AB191333|1b,1
KM043285|1b,1
EF407459|1b,1
EF407481|1b,1
EF407467|1b,1
EF407495|1b,1
EF407502|1b,1
EF407491|1b,1
EF407475|1b,1
EF407476|1b,1
EF407493|1b,1
EF407478|1b,1
EF407480|1b,1
EF407468|1b,1
EF407498|1b,1
EF407469|1b,1
EF407486|1b,1
EF407472|1b,1
EF407479|1b,1
EF407483|1b,1
EF407470|1b,1
EF407497|1b,1
EF407461|1b,1
EF407471|1b,1
EF407463|1b,1
AY651061|1c,1
DD448590|1c,1
E08443|1c,1
KJ439767|1c,1
FV536457|1c,1
FV536495|1c,1
HC186753|1c,1
HC186779|1c,1
HC186795|1c,1
HC494089|1c,1
HC494115|1c,1
HC494131|1c,1
HH731927|1c,1
HH944492|1c,1
HV982594|1c,1
HZ673002|1c,1
D14853|1c,1
AY051292|1c,1
KC844047|1c,1
KC967478|2a,2
KC967477|2a,2
D00944|2a,2
AB047641|2a,2
AB047642|2a,2
AB047644|2a,2
AX057395|2a,2
GM663244|2a,2
CS541302|2a,2
CS541303|2a,2
AX057317|2a,2
DJ030501|2a,2
DJ030474|2a,2
DD225882|2a,2
DD091114|2a,2
GM864899|2a,2
GM864909|2a,2
GM864911|2a,2
GM864913|2a,2
GM864915|2a,2
GM864917|2a,2
GM864919|2a,2
GM864901|2a,2
GM864903|2a,2
GM864905|2a,2
D10988|2b,2
KM349851|2b,2
KU180729|2b,2
KY620359|2b,2
KY620339|2b,2
KY620340|2b,2
KY620346|2b,2
KY620356|2b,2
KY620354|2b,2
KY620338|2b,2
KY620343|2b,2
KY620347|2b,2
KY620351|2b,2
KY620352|2b,2
KY620358|2b,2
KY620342|2b,2
KY620341|2b,2
KY620361|2b,2
KY620335|2b,2
KU180730|2b,2
KY620360|2b,2
KY620353|2b,2
KY620349|2b,2
KY620337|2b,2
KY620355|2b,2
D50409|2c,2
JX227949|2c,2
JX227950|2c,2
JX227951|2c,2
JX227965|2c,2
JX227966|2c,2
KC197227|2c,2
KC197228|2c,2
KC967479|2c,2
KM587619|2c,2
KY620333|2c,2
KY620332|2c,2
FV536460|2c,2
FV536498|2c,2
HC186802|2c,2
HC494138|2c,2
DQ155561|2i,2
KC197229|2i,2
KC197230|2i,2
KC197231|2i,2
HC186821|2i,2
HC494157|2i,2
AB031663|2k,2
JX227952|2k,2
JX227953|2k,2
